offset	original	normalized_png	width	height	format
4de22	offset_04de22_40x33.bmp	offset_04de22_40x33.png	40	33	BMP
4edfe	offset_04edfe_40x33.bmp	offset_04edfe_40x33.png	40	33	BMP
4fdda	offset_04fdda_40x33.bmp	offset_04fdda_40x33.png	40	33	BMP
50db6	offset_050db6_40x33.bmp	offset_050db6_40x33.png	40	33	BMP
51d92	offset_051d92_40x33.bmp	offset_051d92_40x33.png	40	33	BMP
52d6e	offset_052d6e_40x33.bmp	offset_052d6e_40x33.png	40	33	BMP
5a3be	offset_05a3be_40x33.bmp	offset_05a3be_40x33.png	40	33	BMP
5b39a	offset_05b39a_40x33.bmp	offset_05b39a_40x33.png	40	33	BMP
5c376	offset_05c376_40x33.bmp	offset_05c376_40x33.png	40	33	BMP
5d352	offset_05d352_40x33.bmp	offset_05d352_40x33.png	40	33	BMP
5e32e	offset_05e32e_40x33.bmp	offset_05e32e_40x33.png	40	33	BMP
5f30a	offset_05f30a_40x33.bmp	offset_05f30a_40x33.png	40	33	BMP
80958	offset_080958_80x80.bmp	offset_080958_80x80.png	80	80	BMP
8acff	offset_08acff_138x139.bmp	offset_08acff_138x139.png	138	139	BMP
98f3f	offset_098f3f_216x60.bmp	offset_098f3f_216x60.png	216	60	BMP
a2781	offset_0a2781_60x31.bmp	offset_0a2781_60x31.png	60	31	BMP
a3db3	offset_0a3db3_60x9.bmp	offset_0a3db3_60x9.png	60	9	BMP
a446a	offset_0a446a_60x12.bmp	offset_0a446a_60x12.png	60	12	BMP
a4d3b	offset_0a4d3b_60x28.bmp	offset_0a4d3b_60x28.png	60	28	BMP
a614c	offset_0a614c_60x60.bmp	offset_0a614c_60x60.png	60	60	BMP
a8bda	offset_0a8bda_200x150.bmp	offset_0a8bda_200x150.png	200	150	BMP
6976a	offset_06976a_400x300.jpg	offset_06976a_400x300.png	400	300	JPEG
706ea	offset_0706ea_80x80.jpg	offset_0706ea_80x80.png	80	80	JPEG
712bb	offset_0712bb_80x80.jpg	offset_0712bb_80x80.png	80	80	JPEG
72027	offset_072027_80x80.jpg	offset_072027_80x80.png	80	80	JPEG
72d2c	offset_072d2c_80x80.jpg	offset_072d2c_80x80.png	80	80	JPEG
73886	offset_073886_80x80.jpg	offset_073886_80x80.png	80	80	JPEG
745e5	offset_0745e5_80x80.jpg	offset_0745e5_80x80.png	80	80	JPEG
752dd	offset_0752dd_80x80.jpg	offset_0752dd_80x80.png	80	80	JPEG
75e42	offset_075e42_80x80.jpg	offset_075e42_80x80.png	80	80	JPEG
768fa	offset_0768fa_80x80.jpg	offset_0768fa_80x80.png	80	80	JPEG
775e5	offset_0775e5_80x80.jpg	offset_0775e5_80x80.png	80	80	JPEG
7824e	offset_07824e_80x80.jpg	offset_07824e_80x80.png	80	80	JPEG
790a7	offset_0790a7_80x80.jpg	offset_0790a7_80x80.png	80	80	JPEG
7a0e2	offset_07a0e2_80x80.jpg	offset_07a0e2_80x80.png	80	80	JPEG
7b09a	offset_07b09a_80x80.jpg	offset_07b09a_80x80.png	80	80	JPEG
7be56	offset_07be56_80x80.jpg	offset_07be56_80x80.png	80	80	JPEG
7ccca	offset_07ccca_80x80.jpg	offset_07ccca_80x80.png	80	80	JPEG
7dcd8	offset_07dcd8_80x80.jpg	offset_07dcd8_80x80.png	80	80	JPEG
7f020	offset_07f020_80x80.jpg	offset_07f020_80x80.png	80	80	JPEG
7fd89	offset_07fd89_80x80.jpg	offset_07fd89_80x80.png	80	80	JPEG
8549a	offset_08549a_80x80.jpg	offset_08549a_80x80.png	80	80	JPEG
86019	offset_086019_80x80.jpg	offset_086019_80x80.png	80	80	JPEG
86bb1	offset_086bb1_80x80.jpg	offset_086bb1_80x80.png	80	80	JPEG
8782f	offset_08782f_80x80.jpg	offset_08782f_80x80.png	80	80	JPEG
883f9	offset_0883f9_80x80.jpg	offset_0883f9_80x80.png	80	80	JPEG
8908c	offset_08908c_80x80.jpg	offset_08908c_80x80.png	80	80	JPEG
89cca	offset_089cca_80x80.jpg	offset_089cca_80x80.png	80	80	JPEG
4c3d0	offset_04c3d0_78x32.gif	offset_04c3d0_78x32.png	78	32	GIF
4c8f4	offset_04c8f4_78x32.gif	offset_04c8f4_78x32.png	78	32	GIF
